feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
transport_dist_to__IDHmut-non-codel,0.075,-0.0053953159934360334,0.0053953159934360334,40,104.85937219024277,1.698543371960446e-23,0.2538967849642682,0.0196078431372549,0.027777777777777776,0.8149408170506682,0.6200527532672018,0.03684525084931904,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
bio_dist_to__IDHmut-non-codel,1.0,0.7694350784395126,0.9443804395057519,40,128.67115009619556,1.1466074692557612e-28,0.31155242154042506,0.0196078431372549,0.027777777777777776,1.0,0.6200527532672018,0.6028290656764461,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
sheaf_dist_to__IDHmut-non-codel,1.0,0.3768805789815656,0.41175942396060117,40,6.85539674200345,0.032461569345653564,0.016599023588386077,0.0784313725490196,0.09523809523809523,0.05327842905638367,0.6200527532672018,0.029889204566527505,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_dist_to__IDHwt,0.0,0.0,0.0,40,31.693287979945126,1.3118674559441304e-07,0.07673919607734897,0.0196078431372549,0.027777777777777776,0.24631230820779154,0.6200527532672018,0.0,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
bio_dist_to__IDHwt,0.2,0.027645196164647973,0.027645196164647973,40,71.77944461926018,2.589951574091405e-16,0.1738001080369496,0.0196078431372549,0.027777777777777776,0.5578518927171888,0.6200527532672018,0.06725786705450801,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
sheaf_dist_to__IDHwt,0.0,0.0,0.0,40,6.7444497991969,0.03431320890748251,0.016330386922994915,0.0392156862745098,0.05128205128205128,0.052416177162904795,0.6200527532672018,0.0,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
SRIS,0.2,0.005050226166413287,0.022644068157060007,40,33.99691825843456,4.146321745074985e-08,0.08113822973373404,0.0196078431372549,0.02898550724637681,0.2928111088982976,0.3764444871872407,0.021406427704465058,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_R,0.975,-0.25417019783749495,0.3090876946365514,40,9.6821317361198,0.007898630665138701,0.023107712974032937,0.0196078431372549,0.02898550724637681,0.08339096233963122,0.4806638703028183,0.03794816606229617,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_C,0.925,0.12747021224349717,0.1795957907973437,40,25.925847448397462,2.345706964274246e-06,0.06187553090309657,0.0196078431372549,0.02898550724637681,0.22329600826715978,0.41133681615844137,0.08249848750095098,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_R_to_C,1.0,0.7166292602001227,0.7166292602001227,40,26.05019837789814,2.2043030217337673e-06,0.0621723111644347,0.0196078431372549,0.02898550724637681,0.22436702691899285,0.3954484098157291,0.08615382795193198,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
frac_D_to_R,1.0,-0.149984475891201,0.17568617145972026,40,18.60972678104804,9.098067919538338e-05,0.044414622389136134,0.0196078431372549,0.02898550724637681,0.1602831966600709,0.4806638703028183,0.07480923029893055,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
frac_D_to_C,1.0,0.4242131614853958,0.4242131614853958,40,7.695761835721214,0.021324877759986618,0.018366973354943233,0.0784313725490196,0.09876543209876543,0.06628261243578047,0.41133681615844137,0.024571690739726457,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
frac_R_to_C,0.025,-1.0593963493691536e-05,1.0593963493691536e-05,40,4.033165994410865,0.13310952449436259,0.009625694497400633,0.17647058823529413,0.2,0.03473714288504247,0.3954484098157291,0.0002747349583086363,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
energy_margin,1.0,0.2803406765586241,0.2826333479782298,40,12.882745284189014,0.001594216888846489,0.030746408792813876,0.0392156862745098,0.05555555555555555,0.11095743748425849,0.3764444871872407,0.03944879811707356,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_total__G2,0.025,-0.0015791624318517907,0.0015791624318517907,40,34.62878808234291,3.023111813719209e-08,0.08264627227289477,0.0196078431372549,0.02898550724637681,0.29825332287815065,0.3764444871872407,0.002725536190306032,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
