feature,task_count,max_CSDS,mean_CSDS,max_selection_frequency,min_q_value
transport_dist_to__G3,1,0.026080508023358213,0.026080508023358213,0.25,0.02898550724637681
E_D_to_C__IDHmut-non-codel,1,0.017872049094448356,0.017872049094448356,0.25,0.027777777777777776
E_R_to_C__G2,1,0.01675328361786434,0.01675328361786434,0.25,0.02898550724637681
transport_dist_to__G2,1,0.007306364639050955,0.007306364639050955,0.05,0.02898550724637681
E_R_to_C__G2G3,1,0.0041593864877616646,0.0041593864877616646,0.125,0.30588235294117644
E_total__G2G3,1,0.003670646588815136,0.003670646588815136,0.05,0.17993079584775085
E_total__IDHmut-codel,1,0.0030453180026161182,0.0030453180026161182,0.025,0.027777777777777776
E_D_to_R__G3,1,0.002981952816635092,0.002981952816635092,0.225,0.21505376344086022
sheaf_dist_to__G4,1,0.00281593309906916,0.00281593309906916,0.025,0.02898550724637681
E_total__G2,1,0.002725536190306032,0.002725536190306032,0.025,0.02898550724637681
sheaf_dist_to__G2,1,0.0023521136184014224,0.0023521136184014224,0.2,0.1839080459770115
E_total__IDHmut-non-codel,1,0.002010877285760134,0.002010877285760134,0.025,0.027777777777777776
sheaf_dist_to__IDHmut-codel,1,0.0019142693518009288,0.0019142693518009288,0.075,0.07407407407407407
E_D_to_C__IDHwt,1,0.001253775418620413,0.001253775418620413,0.6,0.5882352941176471
E_R_to_C__IDHwt,1,0.0012433331045271841,0.0012433331045271841,0.225,0.39583333333333337
E_R_to_C__G3,1,0.0008153207988695275,0.0008153207988695275,0.275,0.39583333333333337
E_D_to_C__G2G3,1,0.0,0.0,0.0,0.22657952069716775
E_D_to_C__G3,1,0.0,0.0,0.0,0.14285714285714285
E_D_to_C__IDHmut-codel,1,0.0,0.0,0.0,0.027777777777777776
E_D_to_R__G2,1,0.0,0.0,0.0,0.02898550724637681
E_R_to_C__IDHmut-codel,1,0.0,0.0,0.0,0.13793103448275862
E_R_to_C__IDHmut-non-codel,1,0.0,0.0,0.0,0.505050505050505
E_total__G3,1,0.0,0.0,0.0,0.08
E_total__IDHwt,1,0.0,0.0,0.0,0.027777777777777776
sheaf_dist_to__0,1,0.0,0.0,0.0,0.9803921568627451
sheaf_dist_to__1,1,0.0,0.0,0.0,0.42483660130718953
sheaf_dist_to__IDHwt,1,0.0,0.0,0.0,0.05128205128205128
transport_dist_to__0,1,0.0,0.0,0.0,0.0463458110516934
transport_dist_to__IDHwt,1,0.0,0.0,0.0,0.027777777777777776
