feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
E_D_to_R__IDHmut-non-codel,0.35,0.012908596809211307,0.022942208108742902,40,62.984269300805636,2.1044552636149824e-14,0.15250428402132116,0.0196078431372549,0.02564102564102564,0.4894979896714851,0.511860011958369,0.08544549084776987,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_min_distance,0.625,0.09451288975429804,0.0986885173543399,40,27.09945877915493,1.3044495726470737e-06,0.06561612295194898,0.0196078431372549,0.02564102564102564,0.21061021650070869,0.616469218891591,0.07906601273970623,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
SRIS,0.875,-0.1893328024941684,0.1893328024941684,40,28.279469253638126,7.230882026810099e-07,0.06847329117103662,0.0196078431372549,0.02564102564102564,0.21978096280709525,0.4181141002175706,0.07834511599168152,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
bio_dist_to__IDHmut-codel,0.925,0.05197314539150649,0.128397539253095,40,14.567487455889705,0.0006866102640572558,0.035272366721282575,0.0196078431372549,0.02564102564102564,0.11321486941710661,0.616469218891591,0.06290361272805572,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_C,1.0,0.2522383660190656,0.2522383660190656,40,13.119082756836633,0.0014165352150178104,0.03176533355166255,0.0196078431372549,0.02564102564102564,0.10195823031836355,0.4419044161645114,0.043900515517849306,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
bio_dist_to__G4,1.0,-1.3910470078207289,1.3910470078207289,40,116.10528844464966,6.138425005676816e-26,0.2771009270755362,0.0196078431372549,0.026666666666666665,1.0,0.6116149538334907,0.5953052217312643,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
p_sheaf__G4,1.0,0.7022769389535508,0.7022769389535508,40,86.47629465013642,1.6669063806582953e-19,0.20638733806715137,0.0196078431372549,0.026666666666666665,0.7448092658704506,0.7,0.507463379813067,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
bio_dist_to__G3,1.0,0.3826599331713615,0.4027024897708433,40,72.23477122421923,2.0626176412772494e-16,0.17239802201484303,0.0196078431372549,0.026666666666666665,0.6221488460334464,0.6116149538334907,0.3703684567377911,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
bio_dist_to__G2,1.0,0.17894744964197867,0.17894744964197867,40,60.30601891297897,8.02997845930083e-14,0.14392844609302857,0.0196078431372549,0.026666666666666665,0.519408028013542,0.6116149538334907,0.3092063112856004,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
p_sheaf__G2,0.7,0.04373787416731891,0.04705818543714176,40,73.55102975070395,1.0680628771625956e-16,0.17553945047900704,0.0196078431372549,0.026666666666666665,0.6334856123781786,0.7,0.3021304047302326,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
