model,model_family,feature,beta_per_sd,hazard_ratio_per_sd,hr_ci_low,hr_ci_high,p_value,regularized_fallback
No-grade + Phase1 edges,leakage_control,purity_low,0.07421250023215915,1.0770356515064323,0.9614036621392976,1.2065751778338996,0.2002979596292458,False
No-grade + Phase1 edges,leakage_control,kps_low,0.19959516743953293,1.2209083946282013,1.0871335334071073,1.3711446315173215,0.0007491375981914971,False
No-grade + Phase1 edges,leakage_control,idh_mutant,-0.6370420305987063,0.5288544479694698,0.44140248120323256,0.6336326573758378,4.9314502776273136e-12,False
No-grade + Phase1 edges,leakage_control,mgmt_methylated,-0.07311325865533046,0.9294955506478029,0.8194053395753019,1.0543767985718204,0.255652494272815,False
No-grade + Phase1 edges,leakage_control,egfr_amp,0.014134838607993706,1.0142352077823689,0.8911444278207513,1.1543281028204517,0.8304525353896518,False
No-grade + Phase1 edges,leakage_control,P1_E_D_to_R,0.055537577133555255,1.0571087394423762,0.9353599139125547,1.1947047017774177,0.3736855762666951,False
No-grade + Phase1 edges,leakage_control,P1_E_D_to_C,0.003059423228950948,1.0030641080405867,0.8916265582454331,1.1284293805908638,0.9593916521585658,False
No-grade + Phase1 edges,leakage_control,P1_E_R_to_C,0.11385796559597484,1.120592950828399,0.9888679142241507,1.2698648053835604,0.07434067992928074,False
No-IDH baseline,leakage_control,age,0.6787302647045564,1.9713730205019016,1.6834186119799825,2.3085829978984473,3.6175422412594355e-17,False
No-IDH baseline,leakage_control,grade,0.6332204555825557,1.8836670878601545,1.5831264883660632,2.241262289502613,9.324016773213339e-13,False
No-IDH baseline,leakage_control,purity_low,0.09900595679834363,1.1040728762787744,0.9903847715776304,1.2308114493649982,0.07414757728909675,False
No-IDH baseline,leakage_control,kps_low,0.19412765085678116,1.2142512732790804,1.0752930998359407,1.3711667589839653,0.0017441202394991896,False
No-IDH baseline,leakage_control,mgmt_methylated,-0.13623587804977808,0.8726367723507031,0.7743488581070553,0.9834003479002672,0.02544932692184272,False
No-IDH baseline,leakage_control,egfr_amp,0.040540222314409555,1.041373195300223,0.924061044340198,1.1735784540772691,0.5061664850640765,False
No-IDH + Phase1 edges,leakage_control,age,0.687332380852195,1.9884041470388332,1.6935835418247822,2.3345473986486605,4.6912678636840565e-17,False
No-IDH + Phase1 edges,leakage_control,grade,0.6388420682306017,1.8942861547606102,1.5854673819559058,2.2632569278662933,1.98148154489722e-12,False
No-IDH + Phase1 edges,leakage_control,purity_low,0.1014817226400489,1.1068096886479863,0.9921880152365383,1.2346729330257078,0.06885636329026416,False
No-IDH + Phase1 edges,leakage_control,kps_low,0.15812213205055856,1.1713092403716263,1.0377457340591287,1.3220630946017304,0.010474416337851698,False
No-IDH + Phase1 edges,leakage_control,mgmt_methylated,-0.13219511832096364,0.8761700215763957,0.7761365018683679,0.989096511839329,0.03258094236796713,False
No-IDH + Phase1 edges,leakage_control,egfr_amp,0.08157799181633689,1.0849978352361063,0.9589333832981475,1.2276351235349792,0.19548137222958095,False
No-IDH + Phase1 edges,leakage_control,P1_E_D_to_R,0.10089413827244038,1.106159535605607,0.9907204994643498,1.2350495612766332,0.07278471964779014,False
No-IDH + Phase1 edges,leakage_control,P1_E_D_to_C,0.0633301053618482,1.0653784683355811,0.9366498455342431,1.2117989302028591,0.3351051548409959,False
No-IDH + Phase1 edges,leakage_control,P1_E_R_to_C,0.13695944366604193,1.1467816383181624,1.0091151064061739,1.3032290544804814,0.035814390761759525,False
Strict no-grade/no-IDH baseline,strict,age,0.8133876130340085,2.2555359420571066,1.939143694338217,2.623551003860836,5.198579473504473e-26,False
Strict no-grade/no-IDH baseline,strict,purity_low,0.10006625823539682,1.10524414717648,0.9908984252744152,1.2327849088362104,0.07251492101845185,False
Strict no-grade/no-IDH baseline,strict,kps_low,0.28478973052999756,1.3294824491590815,1.1863267129271768,1.4899129922319552,9.613489340160297e-07,False
